match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
550,2,Royal Challengers Bangalore,Kolkata Knight Riders,10,4,Mandeep Singh,D Wiese,AD Russell,0,0,0,0,0,0,6,0,6,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,1,1,DA Warner,S Dhawan,MM Sharma,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,1,2,DA Warner,S Dhawan,MM Sharma,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,1,3,DA Warner,S Dhawan,MM Sharma,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,1,4,S Dhawan,DA Warner,MM Sharma,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,1,5,S Dhawan,DA Warner,MM Sharma,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,1,6,DA Warner,S Dhawan,MM Sharma,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,2,1,S Dhawan,DA Warner,A Nehra,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,2,2,DA Warner,S Dhawan,A Nehra,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,2,3,S Dhawan,DA Warner,A Nehra,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,2,4,S Dhawan,DA Warner,A Nehra,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,2,5,S Dhawan,DA Warner,A Nehra,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,2,6,S Dhawan,DA Warner,A Nehra,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,3,1,S Dhawan,DA Warner,MM Sharma,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,3,2,DA Warner,S Dhawan,MM Sharma,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,3,3,DA Warner,S Dhawan,MM Sharma,0,0,0,0,1,0,6,1,7,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,3,4,DA Warner,S Dhawan,MM Sharma,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,3,5,S Dhawan,DA Warner,MM Sharma,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,3,6,DA Warner,S Dhawan,MM Sharma,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,3,7,DA Warner,S Dhawan,MM Sharma,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,4,1,S Dhawan,DA Warner,A Nehra,0,0,0,0,0,0,3,0,3,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,4,2,DA Warner,S Dhawan,A Nehra,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,4,3,DA Warner,S Dhawan,A Nehra,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,4,4,DA Warner,S Dhawan,A Nehra,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,4,5,DA Warner,S Dhawan,A Nehra,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,4,6,DA Warner,S Dhawan,A Nehra,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,5,1,DA Warner,S Dhawan,RG More,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,5,2,DA Warner,S Dhawan,RG More,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,5,3,S Dhawan,DA Warner,RG More,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,5,4,S Dhawan,DA Warner,RG More,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,5,5,DA Warner,S Dhawan,RG More,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,5,6,DA Warner,S Dhawan,RG More,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,6,1,DA Warner,S Dhawan,A Nehra,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,6,2,DA Warner,S Dhawan,A Nehra,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,6,3,DA Warner,S Dhawan,A Nehra,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,6,4,S Dhawan,DA Warner,A Nehra,0,0,0,0,0,0,2,0,2,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,6,5,S Dhawan,DA Warner,A Nehra,0,0,0,1,0,0,0,1,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,6,6,DA Warner,S Dhawan,A Nehra,0,0,0,0,0,0,2,0,2,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,7,1,S Dhawan,DA Warner,SK Raina,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,7,2,S Dhawan,DA Warner,SK Raina,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,7,3,S Dhawan,DA Warner,SK Raina,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,7,4,DA Warner,S Dhawan,SK Raina,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,7,5,S Dhawan,DA Warner,SK Raina,0,1,0,0,0,0,0,1,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,7,6,S Dhawan,DA Warner,SK Raina,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,7,7,DA Warner,S Dhawan,SK Raina,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,8,1,S Dhawan,DA Warner,DJ Bravo,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,8,2,S Dhawan,DA Warner,DJ Bravo,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,8,3,S Dhawan,DA Warner,DJ Bravo,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,8,4,S Dhawan,DA Warner,DJ Bravo,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,8,5,DA Warner,S Dhawan,DJ Bravo,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,8,6,DA Warner,S Dhawan,DJ Bravo,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,9,1,DA Warner,S Dhawan,SK Raina,0,0,0,0,0,0,0,0,0,DA Warner,caught,DR Smith
551,1,Sunrisers Hyderabad,Chennai Super Kings,9,2,MC Henriques,S Dhawan,SK Raina,0,0,0,0,0,0,6,0,6,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,9,3,MC Henriques,S Dhawan,SK Raina,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,9,4,MC Henriques,S Dhawan,SK Raina,0,0,0,0,0,0,6,0,6,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,9,5,MC Henriques,S Dhawan,SK Raina,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,9,6,MC Henriques,S Dhawan,SK Raina,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,10,1,MC Henriques,S Dhawan,P Negi,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,10,2,S Dhawan,MC Henriques,P Negi,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,10,3,MC Henriques,S Dhawan,P Negi,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,10,4,MC Henriques,S Dhawan,P Negi,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,10,5,S Dhawan,MC Henriques,P Negi,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,10,6,MC Henriques,S Dhawan,P Negi,0,0,0,0,0,0,0,0,0,MC Henriques,stumped,MS Dhoni
551,1,Sunrisers Hyderabad,Chennai Super Kings,11,1,S Dhawan,EJG Morgan,SK Raina,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,11,2,EJG Morgan,S Dhawan,SK Raina,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,11,3,S Dhawan,EJG Morgan,SK Raina,0,1,0,0,0,0,0,1,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,11,4,S Dhawan,EJG Morgan,SK Raina,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,11,5,S Dhawan,EJG Morgan,SK Raina,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,11,6,EJG Morgan,S Dhawan,SK Raina,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,11,7,EJG Morgan,S Dhawan,SK Raina,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,12,1,EJG Morgan,S Dhawan,P Negi,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,12,2,EJG Morgan,S Dhawan,P Negi,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,12,3,S Dhawan,EJG Morgan,P Negi,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,12,4,S Dhawan,EJG Morgan,P Negi,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,12,5,S Dhawan,EJG Morgan,P Negi,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,12,6,EJG Morgan,S Dhawan,P Negi,0,0,0,0,0,0,6,0,6,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,13,1,S Dhawan,EJG Morgan,SK Raina,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,13,2,EJG Morgan,S Dhawan,SK Raina,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,13,3,EJG Morgan,S Dhawan,SK Raina,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,13,4,EJG Morgan,S Dhawan,SK Raina,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,13,5,EJG Morgan,S Dhawan,SK Raina,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,13,6,S Dhawan,EJG Morgan,SK Raina,0,0,0,0,0,0,1,0,1,S Dhawan,run out,RA Jadeja
551,1,Sunrisers Hyderabad,Chennai Super Kings,14,1,EJG Morgan,NV Ojha,DJ Bravo,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,14,2,EJG Morgan,NV Ojha,DJ Bravo,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,14,3,NV Ojha,EJG Morgan,DJ Bravo,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,14,4,NV Ojha,EJG Morgan,DJ Bravo,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,14,5,NV Ojha,EJG Morgan,DJ Bravo,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,14,6,NV Ojha,EJG Morgan,DJ Bravo,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,15,1,EJG Morgan,NV Ojha,MM Sharma,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,15,2,NV Ojha,EJG Morgan,MM Sharma,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,15,3,NV Ojha,EJG Morgan,MM Sharma,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,15,4,NV Ojha,EJG Morgan,MM Sharma,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,15,5,EJG Morgan,NV Ojha,MM Sharma,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,15,6,EJG Morgan,NV Ojha,MM Sharma,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,16,1,EJG Morgan,NV Ojha,RG More,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,16,2,NV Ojha,EJG Morgan,RG More,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,16,3,NV Ojha,EJG Morgan,RG More,0,1,0,0,0,0,0,1,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,16,4,NV Ojha,EJG Morgan,RG More,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,16,5,NV Ojha,EJG Morgan,RG More,0,0,0,0,0,0,6,0,6,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,16,6,NV Ojha,EJG Morgan,RG More,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,16,7,EJG Morgan,NV Ojha,RG More,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,17,1,NV Ojha,EJG Morgan,A Nehra,0,0,0,0,0,0,0,0,0,NV Ojha,bowled,
551,1,Sunrisers Hyderabad,Chennai Super Kings,17,2,A Ashish Reddy,EJG Morgan,A Nehra,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,17,3,A Ashish Reddy,EJG Morgan,A Nehra,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,17,4,A Ashish Reddy,EJG Morgan,A Nehra,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,17,5,EJG Morgan,A Ashish Reddy,A Nehra,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,17,6,A Ashish Reddy,EJG Morgan,A Nehra,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,18,1,A Ashish Reddy,EJG Morgan,DJ Bravo,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,18,2,A Ashish Reddy,EJG Morgan,DJ Bravo,0,0,0,0,0,0,0,0,0,A Ashish Reddy,caught,MS Dhoni
551,1,Sunrisers Hyderabad,Chennai Super Kings,18,3,EJG Morgan,GH Vihari,DJ Bravo,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,18,4,GH Vihari,EJG Morgan,DJ Bravo,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,18,5,EJG Morgan,GH Vihari,DJ Bravo,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,18,6,GH Vihari,EJG Morgan,DJ Bravo,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,19,1,EJG Morgan,GH Vihari,MM Sharma,0,0,0,0,0,0,6,0,6,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,19,2,EJG Morgan,GH Vihari,MM Sharma,0,0,0,0,0,0,2,0,2,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,19,3,EJG Morgan,GH Vihari,MM Sharma,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,19,4,EJG Morgan,GH Vihari,MM Sharma,0,0,0,0,0,0,0,0,0,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,19,5,EJG Morgan,GH Vihari,MM Sharma,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,19,6,GH Vihari,EJG Morgan,MM Sharma,0,0,0,0,0,0,2,0,2,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,20,1,EJG Morgan,GH Vihari,DJ Bravo,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,20,2,GH Vihari,EJG Morgan,DJ Bravo,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,20,3,EJG Morgan,GH Vihari,DJ Bravo,0,0,0,0,0,0,1,0,1,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,20,4,GH Vihari,EJG Morgan,DJ Bravo,0,0,0,0,0,0,0,0,0,GH Vihari,caught,B Aparajith (sub)
551,1,Sunrisers Hyderabad,Chennai Super Kings,20,5,KV Sharma,EJG Morgan,DJ Bravo,0,0,0,0,0,0,4,0,4,,,
551,1,Sunrisers Hyderabad,Chennai Super Kings,20,6,KV Sharma,EJG Morgan,DJ Bravo,0,0,0,0,0,0,0,0,0,KV Sharma,caught,RA Jadeja
551,2,Chennai Super Kings,Sunrisers Hyderabad,1,1,DR Smith,BB McCullum,TA Boult,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,1,2,DR Smith,BB McCullum,TA Boult,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,1,3,DR Smith,BB McCullum,TA Boult,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,1,4,BB McCullum,DR Smith,TA Boult,0,0,0,0,0,0,4,0,4,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,1,5,BB McCullum,DR Smith,TA Boult,0,0,0,0,0,0,4,0,4,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,1,6,BB McCullum,DR Smith,TA Boult,0,0,0,0,0,0,4,0,4,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,2,1,DR Smith,BB McCullum,B Kumar,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,2,2,DR Smith,BB McCullum,B Kumar,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,2,3,DR Smith,BB McCullum,B Kumar,0,0,0,1,0,0,0,1,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,2,4,BB McCullum,DR Smith,B Kumar,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,2,5,BB McCullum,DR Smith,B Kumar,0,0,0,0,0,0,0,0,0,BB McCullum,bowled,
551,2,Chennai Super Kings,Sunrisers Hyderabad,2,6,SK Raina,DR Smith,B Kumar,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,3,1,DR Smith,SK Raina,TA Boult,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,3,2,DR Smith,SK Raina,TA Boult,0,0,0,0,0,0,4,0,4,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,3,3,DR Smith,SK Raina,TA Boult,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,3,4,DR Smith,SK Raina,TA Boult,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,3,5,DR Smith,SK Raina,TA Boult,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,3,6,DR Smith,SK Raina,TA Boult,0,0,0,0,0,0,4,0,4,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,4,1,SK Raina,DR Smith,B Kumar,0,0,0,0,0,0,6,0,6,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,4,2,SK Raina,DR Smith,B Kumar,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,4,3,SK Raina,DR Smith,B Kumar,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,4,4,DR Smith,SK Raina,B Kumar,0,1,0,0,0,0,0,1,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,4,5,DR Smith,SK Raina,B Kumar,0,0,0,0,0,0,6,0,6,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,4,6,DR Smith,SK Raina,B Kumar,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,4,7,SK Raina,DR Smith,B Kumar,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,5,1,DR Smith,SK Raina,P Kumar,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,5,2,DR Smith,SK Raina,P Kumar,0,0,0,0,0,0,4,0,4,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,5,3,DR Smith,SK Raina,P Kumar,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,5,4,DR Smith,SK Raina,P Kumar,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,5,5,SK Raina,DR Smith,P Kumar,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,5,6,SK Raina,DR Smith,P Kumar,0,0,0,0,0,0,6,0,6,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,6,1,DR Smith,SK Raina,MC Henriques,0,0,0,0,0,0,0,0,0,DR Smith,caught,GH Vihari
551,2,Chennai Super Kings,Sunrisers Hyderabad,6,2,F du Plessis,SK Raina,MC Henriques,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,6,3,F du Plessis,SK Raina,MC Henriques,0,0,0,0,0,0,4,0,4,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,6,4,F du Plessis,SK Raina,MC Henriques,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,6,5,SK Raina,F du Plessis,MC Henriques,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,6,6,SK Raina,F du Plessis,MC Henriques,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,7,1,SK Raina,F du Plessis,KV Sharma,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,7,2,F du Plessis,SK Raina,KV Sharma,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,7,3,SK Raina,F du Plessis,KV Sharma,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,7,4,F du Plessis,SK Raina,KV Sharma,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,7,5,SK Raina,F du Plessis,KV Sharma,0,0,0,0,0,0,6,0,6,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,7,6,SK Raina,F du Plessis,KV Sharma,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,8,1,F du Plessis,SK Raina,MC Henriques,0,1,0,0,0,0,0,1,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,8,2,F du Plessis,SK Raina,MC Henriques,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,8,3,SK Raina,F du Plessis,MC Henriques,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,8,4,F du Plessis,SK Raina,MC Henriques,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,8,5,SK Raina,F du Plessis,MC Henriques,0,0,0,0,0,0,0,0,0,SK Raina,caught,EJG Morgan
551,2,Chennai Super Kings,Sunrisers Hyderabad,8,6,MS Dhoni,F du Plessis,MC Henriques,0,0,0,0,0,0,2,0,2,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,8,7,MS Dhoni,F du Plessis,MC Henriques,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,9,1,MS Dhoni,F du Plessis,KV Sharma,0,0,0,1,0,0,0,1,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,9,2,F du Plessis,MS Dhoni,KV Sharma,0,0,0,0,0,0,2,0,2,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,9,3,F du Plessis,MS Dhoni,KV Sharma,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,9,4,MS Dhoni,F du Plessis,KV Sharma,0,0,0,0,0,0,4,0,4,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,9,5,MS Dhoni,F du Plessis,KV Sharma,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,9,6,F du Plessis,MS Dhoni,KV Sharma,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,10,1,F du Plessis,MS Dhoni,MC Henriques,0,0,0,0,0,0,4,0,4,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,10,2,F du Plessis,MS Dhoni,MC Henriques,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,10,3,MS Dhoni,F du Plessis,MC Henriques,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,10,4,MS Dhoni,F du Plessis,MC Henriques,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,10,5,F du Plessis,MS Dhoni,MC Henriques,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,10,6,F du Plessis,MS Dhoni,MC Henriques,0,0,0,0,0,0,0,0,0,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,11,1,MS Dhoni,F du Plessis,TA Boult,0,0,0,0,0,0,4,0,4,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,11,2,MS Dhoni,F du Plessis,TA Boult,0,0,0,0,0,0,1,0,1,,,
551,2,Chennai Super Kings,Sunrisers Hyderabad,11,3,F du Plessis,MS Dhoni,TA Boult,0,0,0,0,0,0,4,0,4,,,
